,zipcode,density,density_bins
77271,10039,21653.6,3
77272,90291,4379.7,1
77273,20002,3852.6,1
77274,28803,289.0,0
77275,80210,2159.6,0
77276,94117,8956.9,2
77277,20002,3852.6,1
77278,90029,10949.3,2
77279,11215,11270.5,2
77280,78751,2315.7,0
77281,11434,6985.1,1
77282,95060,264.0,0
77283,60647,8385.0,2
77284,11237,19583.0,3
77285,11222,9292.3,2
77286,90028,7273.3,2
77287,98115,2708.9,0
77288,94103,7722.6,2
77289,28801,1142.1,0
77290,78702,1648.1,0
77291,10003,37524.3,3
77292,90038,7127.3,2
77293,10016,39315.3,3
77294,90291,4379.7,1
77295,97203,1343.0,0
77296,20009,14096.5,3
77297,78704,1871.5,0
77298,94618,2553.7,0
77299,70122,1563.4,0
77300,95062,2760.3,0
77301,70119,3128.9,1
77302,20001,6816.2,1
77303,11216,22433.5,3
77304,90291,4379.7,1
77305,10032,33808.6,3
77306,60613,8572.6,2
77307,97215,2782.8,0
77308,10013,19437.4,3
77309,70130,2577.6,0
77310,90024,6239.3,1
77311,10019,23754.2,3
77312,90004,7876.3,2
77313,90068,1110.6,0
77314,80209,2383.1,0
77315,20001,6816.2,1
77316,10027,26528.8,3
77317,70112,1618.2,0
77318,11249,10861.237371490948,2
77319,90034,7191.9,2
77320,97220,1531.1,0
77321,80210,2159.6,0
77322,90046,3242.8,1
77323,90034,7191.9,2
77324,37204,627.8,0
77325,91202,4300.7,1
77326,92115,3479.1,1
77327,60622,8213.0,2
77328,10018,6252.9,1
77329,60630,4374.4,1
77330,94610,5182.2,1
77331,97213,2789.2,0
77332,nan,10861.237371490948,2
77333,10025,48594.3,3
77334,90006,11903.1,2
77335,90028,7273.3,2
77336,90265,64.9,0
77337,90039,2920.0,0
77338,10010,32205.4,3
77339,70119,3128.9,1
77340,97203,1343.0,0
77341,90026,6203.7,1
77342,10013,19437.4,3
77343,60618,7114.6,1
77344,11218,20331.4,3
77345,20005,11575.2,2
77346,60622,8213.0,2
77347,98117,3142.1,1
77348,78751,2315.7,0
77349,60642,4316.4,1
77350,11106,17558.1,3
77351,94110,11517.2,2
77352,91773,894.0,0
77353,78736,92.5,0
77354,80205,2471.7,0
77355,10019,23754.2,3
77356,98118,2639.1,0
77357,91303,4792.8,1
77358,90006,11903.1,2
77359,11211,15047.6,3
77360,60657,11207.9,2
77361,37220,300.1,0
77362,11206,21984.4,3
77363,11222,9292.3,2
77364,78727,1202.7,0
77365,37203,1093.9,0
77366,10039,21653.6,3
77367,90026,6203.7,1
77368,91304,2062.1,0
77369,97218,804.6,0
77370,92107,3525.3,1
77371,90068,1110.6,0
77372,90272,388.7,0
77373,02114,10322.8,2
77374,28805,262.0,0
77375,11238,17188.6,3
77376,94133,13416.4,2
77377,70115,3156.0,1
77378,70122,1563.4,0
77379,94122,9146.8,2
77380,90048,4381.0,1
77381,37210,670.9,0
77382,91204,5507.2,1
77383,11213,22579.4,3
77384,90277,3804.3,1
77385,70119,3128.9,1
77386,02129,4697.9,1
77387,97214,3275.8,1
77388,90291,4379.7,1
77389,90012,3711.6,1
77390,94110,11517.2,2
77391,97211,1662.3,0
77392,90027,2143.2,0
77393,10009,38399.1,3
77394,78704,1871.5,0
77395,80205,2471.7,0
77396,94109,18190.0,3
77397,92114,3066.7,1
77398,78704,1871.5,0
77399,11211,15047.6,3
77400,90278,4293.5,1
77401,02215,13185.2,2
77402,60660,12796.8,2
77403,94117,8956.9,2
77404,10036,21721.3,3
77405,90027,2143.2,0
77406,11225,24824.2,3
77407,10036,21721.3,3
77408,11237,19583.0,3
77409,90028,7273.3,2
77410,90066,4336.8,1
77411,97217,939.3,0
77412,70115,3156.0,1
77413,92106,1319.8,0
77414,10036,21721.3,3
77415,20002,3852.6,1
77416,11221,22020.5,3
77417,78723,1575.7,0
77418,78701,1621.8,0
77419,20003,4553.3,1
77420,10025,48594.3,3
77421,10016,39315.3,3
77422,10002,35781.9,3
77423,70122,1563.4,0
77424,94611,1336.6,0
77425,02135,6270.6,1
77426,20003,4553.3,1
77427,11237,19583.0,3
77428,91601,5416.4,1
77429,90291,4379.7,1
77430,91768,1541.6,0
77431,10001,13259.3,2
77432,90712,2839.6,0
77433,80204,2187.0,0
77434,11105,8420.6,2
77435,10025,48594.3,3
77436,10002,35781.9,3
77437,90045,1420.4,0
77438,10453,33006.7,3
77439,11222,9292.3,2
77440,98101,7613.3,2
77441,97214,3275.8,1
77442,20001,6816.2,1
77443,11225,24824.2,3
77444,91601,5416.4,1
77445,90006,11903.1,2
77446,94611,1336.6,0
77447,10009,38399.1,3
77448,10025,48594.3,3
77449,70117,1647.8,0
77450,60653,4950.5,1
77451,90069,3740.7,1
77452,11233,19194.0,3
77453,78757,1673.7,0
77454,60610,12585.9,2
77455,20009,14096.5,3
77456,10128,50118.8,3
77457,11436,8736.8,2
77458,80211,2710.7,0
77459,11203,13711.2,2
77460,60623,6621.1,1
77461,90066,4336.8,1
77462,94158,2812.4,0
77463,94131,4996.6,1
77464,10009,38399.1,3
77465,78724,338.9,0
77466,78731,1097.0,0
77467,20002,3852.6,1
77468,92107,3525.3,1
77469,91343,3935.6,1
77470,90005,13421.3,2
77471,90037,8475.0,2
77472,11221,22020.5,3
77473,37215,523.9,0
77474,70117,1647.8,0
77475,70116,3439.9,1
77476,80249,189.3,0
77477,90068,1110.6,0
77478,92109,2325.7,0
77479,92110,2013.1,0
77480,10028,55636.0,3
77481,70115,3156.0,1
77482,70131,970.0,0
77483,90066,4336.8,1
77484,10017,20189.9,3
77485,78741,2285.4,0
77486,10032,33808.6,3
77487,92104,4531.3,1
77488,20019,3352.3,1
77489,11211,15047.6,3
77490,92108,1682.1,0
77491,94110,11517.2,2
77492,37204,627.8,0
77493,10029,36151.2,3
77494,60642,4316.4,1
77495,90504,2784.8,0
77496,70122,1563.4,0
77497,70117,1647.8,0
77498,11233,19194.0,3
77499,70126,915.5,0
77500,11217,18472.1,3
77501,02121,5746.9,1
77502,11221,22020.5,3
77503,90402,2360.4,0
77504,90004,7876.3,2
77505,11249,10861.237371490948,2
77506,92107,3525.3,1
77507,20018,2159.4,0
77508,11206,21984.4,3
77509,11238,17188.6,3
77510,02109,8401.7,2
77511,91748,1211.8,0
77512,20016,2829.2,0
77513,70125,2385.6,0
77514,97213,2789.2,0
77515,10025,48594.3,3
77516,95076,233.2,0
77517,91801,4672.3,1
77518,10467,16045.2,3
77519,80220,2472.2,0
77520,90039,2920.0,0
77521,11221,22020.5,3
77522,10026,39504.2,3
77523,91748,1211.8,0
77524,10031,33563.2,3
77525,60613,8572.6,2
77526,78734,339.1,0
77527,95010,2570.5,0
77528,90501,2964.5,1
77529,98101,7613.3,2
77530,92102,3603.0,1
77531,11233,19194.0,3
77532,98121,10981.3,2
77533,11226,30415.4,3
77534,11249,10861.237371490948,2
77535,90049,912.1,0
77536,20011,4638.6,1
77537,10035,9207.8,2
77538,37203,1093.9,0
77539,78741,2285.4,0
77540,92109,2325.7,0
77541,11226,30415.4,3
77542,20009,14096.5,3
77543,94103,7722.6,2
77544,98103,3815.7,1
77545,10026,39504.2,3
77546,92108,1682.1,0
77547,10128,50118.8,3
77548,90404,4138.6,1
77549,37203,1093.9,0
77550,11215,11270.5,2
77551,11693,4665.8,1
77552,90033,5772.8,1
77553,37206,1284.5,0
77554,10012,28771.0,3
77555,37203,1093.9,0
77556,10005,37900.9,3
77557,78702,1648.1,0
77558,70115,3156.0,1
77559,78744,771.6,0
77560,80203,6778.6,1
77561,70116,3439.9,1
77562,94121,5163.3,1
77563,11215,11270.5,2
77564,92103,3184.4,1
77565,20002,3852.6,1
77566,98102,6228.4,1
77567,92109,2325.7,0
77568,37204,627.8,0
77569,02116,12631.6,2
77570,70116,3439.9,1
77571,37204,627.8,0
77572,78734,339.1,0
77573,11211,15047.6,3
77574,90049,912.1,0
77575,90292,4091.9,1
77576,02114,10322.8,2
77577,90248,818.2,0
77578,11222,9292.3,2
77579,10028,55636.0,3
77580,10457,25699.2,3
77581,90016,5066.6,1
77582,11238,17188.6,3
77583,78704,1871.5,0
77584,90291,4379.7,1
77585,94109,18190.0,3
77586,78704,1871.5,0
77587,37206,1284.5,0
77588,94110,11517.2,2
77589,70130,2577.6,0
77590,60622,8213.0,2
77591,10003,37524.3,3
77592,02124,6159.0,1
77593,97211,1662.3,0
77594,11103,21044.4,3
77595,90062,6553.3,1
77596,91801,4672.3,1
77597,90302,5998.7,1
77598,90007,6403.9,1
77599,78705,5511.2,1
77600,10002,35781.9,3
77601,10021,44214.6,3
77602,90291,4379.7,1
77603,11226,30415.4,3
77604,11249,10861.237371490948,2
77605,20016,2829.2,0
77606,97232,2359.8,0
77607,91204,5507.2,1
77608,11216,22433.5,3
77609,90291,4379.7,1
77610,10031,33563.2,3
77611,91403,2497.2,0
77612,90291,4379.7,1
77613,11206,21984.4,3
77614,98118,2639.1,0
77615,94121,5163.3,1
77616,11215,11270.5,2
77617,78701,1621.8,0
77618,80202,3498.7,1
77619,90278,4293.5,1
77620,80203,6778.6,1
77621,10002,35781.9,3
77622,11238,17188.6,3
77623,80211,2710.7,0
77624,94114,8428.9,2
77625,10029,36151.2,3
77626,80211,2710.7,0
77627,10002,35781.9,3
77628,10016,39315.3,3
77629,90290,122.6,0
77630,60616,4677.4,1
77631,11215,11270.5,2
77632,20016,2829.2,0
77633,94118,7591.3,2
77634,90029,10949.3,2
77635,11102,16711.6,3
77636,60607,4031.2,1
77637,70119,3128.9,1
77638,90028,7273.3,2
77639,10025,48594.3,3
77640,37209,376.7,0
77641,98102,6228.4,1
77642,10023,48060.9,3
77643,94610,5182.2,1
77644,11211,15047.6,3
77645,11238,17188.6,3
77646,70119,3128.9,1
77647,nan,10861.237371490948,2
77648,11693,4665.8,1
77649,11104,27093.6,3
77650,91106,3176.0,1
77651,78705,5511.2,1
77652,90272,388.7,0
77653,60609,3237.2,1
77654,11385,10527.6,2
77655,92101,3040.0,1
77656,90046,3242.8,1
77657,10024,26672.3,3
77658,60647,8385.0,2
77659,95010,2570.5,0
77660,60657,11207.9,2
77661,11222,9292.3,2
77662,11226,30415.4,3
77663,91604,2176.4,0
77664,90018,6574.4,1
77665,11201,14028.1,3
77666,11211,15047.6,3
77667,11211,15047.6,3
77668,90027,2143.2,0
77669,90006,11903.1,2
77670,90044,6748.4,1
77671,10012,28771.0,3
77672,97219,1270.3,0
77673,80205,2471.7,0
77674,11222,9292.3,2
77675,60608,5068.9,1
77676,11225,24824.2,3
77677,20010,10746.8,2
77678,10029,36151.2,3
77679,37214,445.3,0
77680,92109,2325.7,0
77681,97215,2782.8,0
77682,98105,4108.7,1
77683,10002,35781.9,3
77684,97213,2789.2,0
77685,10036,21721.3,3
77686,97217,939.3,0
77687,90020,13310.8,2
77688,90402,2360.4,0
77689,37203,1093.9,0
77690,60659,7256.4,2
77691,90291,4379.7,1
77692,90291,4379.7,1
77693,10453,33006.7,3
77694,02134,6259.7,1
77695,60608,5068.9,1
77696,11206,21984.4,3
77697,94112,9106.1,2
77698,11206,21984.4,3
77699,80249,189.3,0
77700,91601,5416.4,1
77701,80202,3498.7,1
77702,94110,11517.2,2
77703,94103,7722.6,2
77704,20012,2287.8,0
77705,02114,10322.8,2
77706,10012,28771.0,3
77707,90291,4379.7,1
77708,91423,2742.5,0
77709,91401,4392.5,1
77710,10011,29744.0,3
77711,91601,5416.4,1
77712,28806,392.0,0
77713,98112,2575.0,0
77714,91502,3270.7,1
77715,98144,3053.9,1
77716,97211,1662.3,0
77717,37204,627.8,0
77718,11238,17188.6,3
77719,94107,5730.0,1
77720,78702,1648.1,0
77721,11221,22020.5,3
77722,80211,2710.7,0
77723,10025,48594.3,3
77724,10002,35781.9,3
77725,94110,11517.2,2
77726,11216,22433.5,3
77727,94114,8428.9,2
77728,91803,3584.5,1
77729,90504,2784.8,0
77730,92107,3525.3,1
77731,70117,1647.8,0
77732,10044,19569.2,3
77733,20018,2159.4,0
77734,10002,35781.9,3
77735,90005,13421.3,2
77736,nan,10861.237371490948,2
77737,11226,30415.4,3
77738,90025,6333.7,1
77739,20001,6816.2,1
77740,37209,376.7,0
